Exotic Particle Analysis
******************************************************
JobID: 20200430	No. Events: 1000	SNN: 130

Simulation Parameters:
Version: Pythia8 Angantyr
Type of Cut: pseudorapidity (n)
Cut: 0.1
Calorimeter (r=regular, c=calorimeter): r
Counting method: d

Event	Particle	ET	pT
812	-11	0.0789263	0.0789246	91
814	11	0.15574	0.155739	91
814	-11	0.166285	0.166284	91
814	11	0.379632	0.379631	91
814	-11	0.0429255	0.0429224	91
815	11	0.0636536	0.0636515	91
818	22	0.297993	0.297993	91
820	22	0.0605576	0.0605576	91
820	22	0.179622	0.179622	91
820	22	0.0392715	0.0392715	91
823	22	0.243795	0.243795	91
823	22	0.0112703	0.0112703	91
825	22	0.154188	0.154188	91
825	-11	0.0431032	0.0431001	91
826	11	0.116335	0.116334	91
834	-11	0.164835	0.164834	91
834	11	0.0901417	0.0901403	91
835	22	0.0696634	0.0696634	91
835	22	0.0702357	0.0702357	91
835	22	0.082943	0.082943	91
835	11	0.0753638	0.0753621	91
837	22	0.0521605	0.0521605	91
848	22	0.143488	0.143488	91
849	22	0.294699	0.294699	91
849	22	0.119176	0.119176	91
849	11	0.0620688	0.0620667	91
849	-11	0.0241685	0.0241631	91
851	11	0.00296788	0.00292357	91
852	11	0.0311579	0.0311538	91
854	22	0.135325	0.135325	91
854	22	0.083226	0.083226	91
854	11	0.0060638	0.00604233	91
857	22	0.180547	0.180547	91
857	11	0.00782153	0.00780489	91
857	-11	0.0546294	0.054627	91
860	22	0.277522	0.277522	91
860	22	0.0633893	0.0633893	91
860	22	0.104319	0.104319	91
860	22	0.0556503	0.0556503	91
860	11	0.356795	0.356794	91
860	-11	0.0842037	0.0842021	91
864	-11	0.324398	0.324397	91
864	11	0.0416849	0.0416818	91
864	-11	0.0991893	0.099188	91
865	11	0.228996	0.228995	91
866	22	0.30079	0.30079	91
866	22	0.0629807	0.0629807	91
866	11	0.457962	0.457962	91
866	11	0.221815	0.221815	91
866	-11	0.0234072	0.0234017	91
872	22	0.137455	0.137455	91
872	-11	0.0158727	0.0158645	91
873	22	0.0810428	0.0810428	91
874	-11	0.202024	0.202023	91
874	11	0.0819832	0.0819817	91
874	11	0.0698978	0.069896	91
875	22	0.374231	0.374231	91
875	22	0.0707722	0.0707722	91
875	11	0.15798	0.157979	91
875	-11	0.123677	0.123676	91
876	11	0.0424806	0.0424775	91
876	-11	0.0374791	0.0374756	91
878	22	0.23074	0.23074	91
879	22	0.0408935	0.0408935	91
884	11	0.00939554	0.00938172	91
884	-11	0.147964	0.147963	91
886	22	0.0926811	0.0926811	91
887	11	0.00421982	0.00418878	91
891	22	0.0855099	0.0855099	91
891	-11	0.014605	0.0145961	91
891	-11	0.126834	0.126833	91
892	22	0.0481902	0.0481902	91
895	11	0.0614544	0.0614522	91
895	-11	0.0307425	0.0307383	91
903	22	0.18191	0.18191	91
903	22	0.113429	0.113429	91
904	22	0.159121	0.159121	91
904	22	0.402995	0.402995	91
915	22	0.0474355	0.0474355	91
915	11	0.0194386	0.0194319	91
920	22	0.0602257	0.0602257	91
920	22	0.0242373	0.0242373	91
920	22	0.089376	0.089376	91
920	11	0.0347443	0.0347406	91
920	-11	0.0417533	0.0417502	91
920	11	0.0611923	0.0611901	91
920	-11	0.140125	0.140124	91
921	22	0.151449	0.151449	91
921	11	0.0157582	0.01575	91
940	22	0.151285	0.151285	91
940	22	0.219926	0.219926	91
940	11	0.00874982	0.00873493	91
941	22	0.614278	0.614278	91
941	22	0.0977844	0.0977844	91
942	22	0.0688286	0.0688286	91
942	22	0.0717668	0.0717668	91
942	11	0.0304362	0.0304319	91
944	-11	0.0197412	0.0197346	91
944	22	0.267781	0.267781	91
951	-11	0.201538	0.201537	91
959	11	0.111234	0.111233	91
959	-11	0.315839	0.315839	91
959	11	0.262197	0.262196	91
961	-11	0.342099	0.342098	91
965	22	0.0154823	0.0154823	91
967	22	0.110763	0.110763	91
967	22	0.111294	0.111294	91
967	-11	0.0252884	0.0252832	91
967	11	0.00867469	0.00865965	91
968	11	0.0184583	0.0184513	91
968	-11	0.00530661	0.00528196	91
969	22	0.105772	0.105772	91
969	-11	0.0696375	0.0696356	91
971	22	0.059884	0.059884	91
972	11	0.207182	0.207181	91
972	-11	0.300497	0.300496	91
975	11	0.0715389	0.0715371	91
975	-11	0.129333	0.129332	91
979	22	0.0840608	0.0840608	91
982	22	0.49184	0.49184	91
984	11	0.0222644	0.0222585	91
986	22	0.324953	0.324953	91
986	11	0.0266541	0.0266492	91
987	22	0.997524	0.997524	91
987	22	0.160816	0.160816	91
990	22	0.0362461	0.0362461	91
991	22	0.757172	0.757172	91
997	22	0.0943997	0.0943997	91
997	11	0.0313276	0.0313234	91
998	22	0.0573529	0.0573529	91
998	11	0.0540256	0.0540232	91
998	11	0.199255	0.199255	91
998	-11	0.043325	0.043322	91
998	11	0.608275	0.608275	91
998	-11	0.244636	0.244635	91
